,Name,International reputation,Number of playstyles,Wage_thous(€),Avg_Rating,Value_mill(€),Team,Body type_Unique,PlayStyles +_Unique playstyles+,ContLength
2365,F. Soelle Soelle,1,0,0.7,69.5,0.825,1.4125,0,0,4
1772,A. Al Dakhil,1,0,21.0,76.5,4.9,4.2375,0,0,4
2219,S. Duffy,1,2,25.0,73.0,2.1,3.1,0,0,4
910,Igor Thiago,1,0,21.0,78.0,9.0,7.3500000000000005,0,0,5
4215,23 C. Magallán,1,0,0.5,66.5,0.975,0.975,0,0,2
1715,K. Arriaga,1,1,3.0,69.0,1.3,2.624090909090909,0,0,7
3442,João Moutinho,3,4,11.0,76.0,2.4,7.761538461538462,0,0,3
4746,Mortimer,1,0,5.0,69.0,1.6,4.322222222222222,0,0,2
1691,I. Jenner,1,0,1.0,67.5,0.725,1.8093750000000002,0,0,6
5000,B. Fazliji,1,0,2.0,68.5,1.3,2.305,0,0,5
2730,B. Cabango,1,0,14.0,74.5,3.5,2.2916666666666665,0,0,8
2255,D. Peretz,1,0,21.0,76.5,4.6,35.721875000000004,0,0,6
4018,N. Thomas,1,2,3.0,71.5,1.9,1.6,0,0,4
520,E. Konsa,2,4,77.0,81.0,23.5,15.68148148148148,0,0,10
3519,Nani,3,3,9.0,73.0,1.0,2.5,0,0,2
5001,E. Kardeşler,1,1,8.0,71.0,1.3,2.0,0,0,5
3979,S. Giovane,1,0,1.0,71.5,1.7,1.7125000000000001,0,0,6
3373,21 David Luiz,4,3,76.0,79.0,8.5,26.811666666666667,0,0,3
2606,E. Elmalı,1,4,22.0,73.5,2.7,4.4312499999999995,0,0,6
4590,F. González,1,0,6.0,72.5,2.7,2.725,0,0,6
3823,J. Hofmann,1,0,1.0,62.0,0.425,1.7166666666666666,0,0,6
1946,M. Nadé,1,2,5.0,72.5,2.2,2.4805555555555556,0,0,8
282,Rodri,4,6,260.0,91.0,129.5,42.38637931034482,0,1,9
2954,K. Amian,1,2,15.0,73.0,2.7,3.815,0,0,5
4227,Gerard Yepes,1,0,0.75,71.5,1.6,1.7194444444444446,0,0,5
1850,J. Ngakia,1,0,13.0,71.0,1.9,1.6838888888888888,0,0,5
3497,Jacobo,1,0,6.0,70.0,1.0,37.88035714285714,0,0,6
3643,M. Tomič,1,0,0.75,73.5,3.0,5.066666666666666,0,0,4
4628,23 J. Orozco,1,0,0.5,65.0,0.75,1.365,0,0,3
1075,T. Cairney,1,3,66.0,76.0,6.0,6.167105263157895,0,0,11
3550,Y. Akçiçek,1,0,0.5,67.0,0.475,10.398863636363636,0,0,4
3259,T. Haye,1,8,7.0,72.0,2.3,3.28,0,0,3
4357,A. Martha,1,0,2.0,69.5,1.2,7.7056818181818185,0,0,6
601,Tiago Santos,1,0,19.0,79.0,12.0,9.093333333333334,0,0,6
3740,R. Sagrado,1,0,2.0,71.5,1.6,1.4916666666666665,0,0,5
1529,Michael,1,4,36.0,76.0,8.0,23.802,0,0,3
3007,Daniel Podence,1,3,56.0,76.0,8.0,8.334999999999999,0,0,5
1309,M. Neuer,5,6,55.0,87.0,9.0,35.721875000000004,1,0,15
2972,S. Singh,1,4,5.0,68.0,1.3,0.8875,0,0,4
1399,E. Anderson,1,1,53.0,78.0,9.0,16.398076923076925,0,0,8
1800,Pacheco,1,0,15.0,76.0,3.9,13.283695652173913,0,0,7
2211,M. James,1,1,17.0,70.0,1.1,1.3587500000000001,0,0,4
4052,O. Wiklöf,1,1,0.85,67.5,1.0,0.65625,0,0,3
2817,Dani Raba,1,2,11.0,73.0,3.2,2.565,0,0,3
245,E. Nketiah,1,1,78.0,78.0,11.0,26.811666666666667,0,0,12
1085,S. Haller,3,5,63.0,81.0,25.5,21.90416666666667,0,0,5
1259,D. Burn,2,2,85.0,78.0,9.5,16.398076923076925,0,0,4
2809,S. Benda,1,2,14.0,70.0,1.3,6.167105263157895,0,0,4
3801,I. Hughes,1,1,0.5,61.5,0.275,0.6166666666666667,0,0,3
2165,C. Günter,2,5,31.0,79.0,15.0,10.713333333333333,0,0,16
1328,P. Dahbo,1,0,0.5,70.5,0.775,1.44375,0,0,6
3684,Óscar Aranda,1,0,3.0,73.0,2.5,4.214285714285714,0,0,4
4501,P. Weah,1,2,0.8,65.5,0.525,2.624090909090909,0,0,4
1098,J. Tauriainen,1,0,7.0,67.0,0.575,17.2421875,0,0,6
4928,R. Caicedo,1,0,0.5,67.0,0.525,0.975,0,0,9
3124,S. Widmer,2,1,23.0,75.0,4.8,5.7942307692307695,0,0,6
1999,J. Brekalo,2,2,1.0,77.0,9.5,5.2,0,0,4
4339,23 Pablo Gálvez,1,0,4.0,69.5,1.2,10.2875,0,0,6
3989,23 Aldair Neves,1,0,2.0,68.0,1.3,1.3,0,0,4
2177,14 F. Adu,2,2,8.0,69.0,0.85,1.025,0,0,1
500,E. Tapsoba,2,3,49.0,83.0,33.0,28.45921052631579,0,0,9
3731,I. Bowat,1,1,3.0,72.0,2.5,1.5125,0,0,5
1580,T. Minamino,1,1,57.0,79.0,17.5,13.135,0,0,5
3428,19 Juanfran,3,0,50.0,80.0,5.5,20.312037037037037,0,0,9
4238,M. Ryneš,1,0,0.65,75.0,3.5,6.744642857142857,0,0,9
2959,N. D'Agostino,1,4,2.0,69.5,1.6,1.4000000000000001,0,0,4
3843,A. Cerda,1,0,0.5,65.5,0.35,2.3857142857142857,0,0,6
3103,C. Dawson,1,1,5.0,68.0,0.925,1.16875,0,0,12
4958,A. Sher,1,0,0.85,69.5,1.2,0.9916666666666667,0,0,3
1778,E. Cashin,1,4,6.0,73.0,2.3,2.9,0,0,10
4290,Magunazelaia,1,0,5.0,68.5,1.1,13.283695652173913,0,0,5
1768,A. Brown,1,1,9.0,74.5,3.6,2.725,0,1,5
1755,I. Hien,1,2,35.0,79.5,14.5,16.893055555555556,0,0,5
4638,21 M. Awad,1,0,2.0,64.0,0.55,0.9821428571428571,0,0,7
4849,S. Hansen,1,3,4.0,73.0,2.7,2.375,0,0,5
2769,R. Crichlow,1,2,2.0,66.5,0.9,1.306875,0,0,3
1223,L. Bolton,1,4,4.0,66.0,0.775,0.7150000000000001,0,0,3
470,M. Maignan,3,5,90.0,88.5,78.0,27.33409090909091,0,0,6
3034,Rodri Tarín,1,4,4.0,69.5,1.4,1.7399999999999998,0,0,4
3063,C. Akolo,1,3,10.0,72.0,2.4,2.305,0,0,3
1744,Joan García,1,1,3.0,74.0,2.7,3.5200000000000005,0,0,9
1752,Yang Hyun Jun,1,2,19.0,74.5,3.1,5.626785714285714,0,0,6
1367,A. Ezzalzouli,1,2,15.0,79.0,9.5,12.610294117647058,0,0,6
34,J. Bellingham,4,5,230.0,90.0,128.5,37.88035714285714,0,1,7
4576,G. Martins,1,0,0.65,56.0,0.12,0.365,0,0,5
2717,Jaime Seoane,1,1,8.0,72.5,2.7,1.7399999999999998,0,0,5
4636,A. Hirtlreiter,1,0,0.5,64.0,0.5,0.6812499999999999,0,0,5
3061,T. James,1,4,2.0,63.0,0.475,0.84875,0,0,4
