,Name,Age,Growth,Weak foot,Skill moves,International reputation,Number of playstyles,Wage_thous(€),Avg_Rating,Total_movement,Total_power,Total_defending,Avg_stats,Value_mill(€),TotalAttSkiMent,Team,Body type_Unique,PlayStyles +_Unique playstyles+,ContLength,ContRemaining,AttDef
2365,F. Soelle Soelle,17,17,2,2,1,0,0.7,69.5,60.8,61.6,29.666666666666668,54.0,0.825,50.111111111111114,1.4125,0,0,4,4,1.5
1772,A. Al Dakhil,21,9,3,2,1,0,21.0,76.5,66.2,57.6,72.0,59.5,4.9,47.1,4.2375,0,0,4,3,1.5
2219,S. Duffy,31,0,3,2,1,2,25.0,73.0,40.8,63.2,72.66666666666667,54.333333333333336,2.1,51.888888888888886,3.1,0,0,4,3,1.0
910,Igor Thiago,22,6,3,2,1,0,21.0,78.0,65.6,80.4,32.333333333333336,64.83333333333333,9.0,61.42222222222222,7.3500000000000005,0,0,5,4,2.0
4215,23 C. Magallán,24,3,4,3,1,0,0.5,66.5,70.8,64.2,51.666666666666664,62.333333333333336,0.975,58.47777777777778,0.975,0,0,2,-1,1.0
1715,K. Arriaga,25,4,2,2,1,1,3.0,69.0,60.0,67.2,62.666666666666664,61.166666666666664,1.3,56.92222222222222,2.624090909090909,0,0,7,5,1.5
3442,João Moutinho,36,0,4,3,3,4,11.0,76.0,57.4,66.6,67.0,65.5,2.4,74.92222222222222,7.761538461538462,0,0,3,2,1.0
4746,Mortimer,22,8,4,3,1,0,5.0,69.0,72.8,54.4,17.333333333333332,54.333333333333336,1.6,53.25555555555555,4.322222222222222,0,0,2,1,1.0
1691,I. Jenner,19,13,3,3,1,0,1.0,67.5,66.4,58.0,58.333333333333336,59.166666666666664,0.725,53.644444444444446,1.8093750000000002,0,0,6,3,1.0
5000,B. Fazliji,24,7,2,2,1,0,2.0,68.5,62.4,61.2,65.33333333333333,60.333333333333336,1.3,52.02222222222222,2.305,0,0,5,4,1.0
2730,B. Cabango,23,7,2,2,1,0,14.0,74.5,60.0,57.0,72.0,55.0,3.5,43.1,2.2916666666666665,0,0,8,2,1.0
2255,D. Peretz,22,9,3,1,1,0,21.0,76.5,42.8,44.2,10.333333333333334,64.66666666666667,4.6,17.066666666666666,35.721875000000004,0,0,6,5,1.0
4018,N. Thomas,20,11,3,3,1,2,3.0,71.5,71.0,54.8,26.333333333333332,58.666666666666664,1.9,56.388888888888886,1.6,0,0,4,3,1.0
520,E. Konsa,25,2,3,2,2,4,77.0,81.0,74.8,66.6,81.66666666666667,70.5,23.5,62.13333333333333,15.68148148148148,0,0,10,5,1.0
3519,Nani,36,0,5,4,3,3,9.0,73.0,69.6,72.8,27.666666666666668,65.83333333333333,1.0,71.94444444444444,2.5,0,0,2,1,0.5
5001,E. Kardeşler,29,0,2,1,1,1,8.0,71.0,41.0,38.6,10.0,64.83333333333333,1.3,17.266666666666666,2.0,0,0,5,3,1.0
3979,S. Giovane,20,13,3,3,1,0,1.0,71.5,72.0,62.4,60.333333333333336,64.5,1.7,60.93333333333334,1.7125000000000001,0,0,6,2,1.5
3373,21 David Luiz,33,0,3,3,4,3,76.0,79.0,62.4,74.4,78.33333333333333,70.33333333333333,8.5,71.47777777777777,26.811666666666667,0,0,3,-2,1.0
2606,E. Elmalı,22,5,2,2,1,4,22.0,73.5,74.0,66.0,66.66666666666667,65.16666666666667,2.7,57.67777777777778,4.4312499999999995,0,0,6,4,1.5
4590,F. González,22,9,3,3,1,0,6.0,72.5,72.6,56.6,24.333333333333332,58.166666666666664,2.7,56.73333333333333,2.725,0,0,6,1,1.0
3823,J. Hofmann,21,8,3,2,1,0,1.0,62.0,64.8,49.4,53.0,52.166666666666664,0.425,43.666666666666664,1.7166666666666666,0,0,6,5,1.0
1946,M. Nadé,24,5,2,2,1,2,5.0,72.5,49.0,59.6,69.0,51.833333333333336,2.2,46.300000000000004,2.4805555555555556,0,0,8,1,0.5
282,Rodri,27,2,4,3,4,6,260.0,91.0,71.2,87.0,85.66666666666667,80.5,129.5,79.78888888888889,42.38637931034482,0,1,9,4,2.0
2954,K. Amian,25,2,3,2,1,2,15.0,73.0,74.0,70.2,70.0,67.16666666666667,2.7,59.46666666666667,3.815,0,0,5,5,1.0
4227,Gerard Yepes,20,13,3,2,1,0,0.75,71.5,68.0,53.2,64.33333333333333,59.833333333333336,1.6,59.27777777777778,1.7194444444444446,0,0,5,2,0.5
1850,J. Ngakia,22,4,2,2,1,0,13.0,71.0,69.6,49.6,69.0,58.5,1.9,49.86666666666667,1.6838888888888888,0,0,5,1,1.5
3497,Jacobo,18,14,3,2,1,0,6.0,70.0,59.6,52.6,65.33333333333333,50.166666666666664,1.0,39.25555555555555,37.88035714285714,0,0,6,5,1.0
3643,M. Tomič,24,3,4,2,1,0,0.75,73.5,72.4,70.6,65.66666666666667,68.5,3.0,64.38888888888889,5.066666666666666,0,0,4,3,1.5
4628,23 J. Orozco,21,8,2,2,1,0,0.5,65.0,63.4,61.4,21.0,53.0,0.75,49.65555555555556,1.365,0,0,3,-1,1.0
1075,T. Cairney,32,0,2,3,1,3,66.0,76.0,67.2,70.2,60.666666666666664,68.66666666666667,6.0,72.65555555555557,6.167105263157895,0,0,11,2,0.5
3550,Y. Akçiçek,17,18,3,2,1,0,0.5,67.0,60.2,51.2,56.0,50.833333333333336,0.475,39.355555555555554,10.398863636363636,0,0,4,3,1.5
3259,T. Haye,28,0,2,3,1,8,7.0,72.0,64.0,66.0,58.666666666666664,64.33333333333333,2.3,69.14444444444445,3.28,0,0,3,1,0.5
4357,A. Martha,19,11,2,3,1,0,2.0,69.5,73.4,47.2,53.666666666666664,60.5,1.2,58.53333333333333,7.7056818181818185,0,0,6,1,1.0
601,Tiago Santos,20,8,3,3,1,0,19.0,79.0,77.2,66.0,73.66666666666667,69.5,12.0,63.22222222222223,9.093333333333334,0,0,6,5,1.5
3740,R. Sagrado,19,13,3,2,1,0,2.0,71.5,68.8,51.4,59.0,59.0,1.6,50.46666666666667,1.4916666666666665,0,0,5,2,1.0
1529,Michael,27,0,2,4,1,4,36.0,76.0,88.6,66.8,19.0,64.66666666666667,8.0,60.87777777777779,23.802,0,0,3,1,1.0
3007,Daniel Podence,27,0,4,4,1,3,56.0,76.0,82.8,56.0,33.666666666666664,62.5,8.0,64.39999999999999,8.334999999999999,0,0,5,1,1.5
1309,M. Neuer,37,0,4,1,5,6,55.0,87.0,53.6,56.8,12.666666666666666,80.0,9.0,33.86666666666667,35.721875000000004,1,0,15,2,1.0
2972,S. Singh,24,2,3,3,1,4,5.0,68.0,72.2,59.4,46.333333333333336,62.0,1.3,62.855555555555554,0.8875,0,0,4,3,1.0
1399,E. Anderson,20,8,4,3,1,1,53.0,78.0,77.0,73.4,65.33333333333333,71.83333333333333,9.0,68.8888888888889,16.398076923076925,0,0,8,3,2.0
1800,Pacheco,22,10,3,2,1,0,15.0,76.0,54.8,51.4,71.66666666666667,52.333333333333336,3.9,45.0,13.283695652173913,0,0,7,4,0.5
2211,M. James,31,0,3,3,1,1,17.0,70.0,58.2,67.8,66.0,64.33333333333333,1.1,65.9888888888889,1.3587500000000001,0,0,4,1,1.0
4052,O. Wiklöf,20,9,3,2,1,1,0.85,67.5,62.2,58.0,49.666666666666664,59.0,1.0,54.77777777777778,0.65625,0,0,3,1,1.0
2817,Dani Raba,27,0,3,4,1,2,11.0,73.0,62.6,66.6,38.0,63.5,3.2,66.76666666666667,2.565,0,0,3,1,1.0
245,E. Nketiah,24,4,3,3,1,1,78.0,78.0,77.6,70.2,19.333333333333332,63.333333333333336,11.0,62.15555555555556,26.811666666666667,0,0,12,4,1.5
1085,S. Haller,29,0,3,3,3,5,63.0,81.0,67.0,78.2,52.333333333333336,68.5,25.5,69.28888888888889,21.90416666666667,0,0,5,3,1.0
